i,model,call,n_observations,n_rand_effect_groups,optimizer,optimizer_message,REML,logLik,Intercept_Estimate,Yoh_Estimate,N1S_Estimate,N2S_Estimate,PredS_Estimate,Intercept_stdError,Yoh_stdError,N1S_stdError,N2S_stdError,PredS_stdError,Intercept_df,Yoh_df,N1S_df,N2S_df,PredS_df,Intercept_t value,Yoh_t value,N1S_t value,N2S_t value,PredS_t value,Intercept_p_two_sided,Yoh_p_two_sided,N1S_p_two_sided,N2S_p_two_sided,PredS_p_two_sided,Y_KR_stat,N1_KR_stat,N2_KR_stat,Pred_KR_stat,Y_KR_ddf,N1_KR_ddf,N2_KR_ddf,Pred_KR_ddf,Y_KR_p.value,N1_KR_p.value,N2_KR_p.value,Pred_KR_p.value
1,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1236.9861775735778,618.4930887867889,0.07908760011196064,-1.488126666509184e-18,0.04366938769817354,0.033878043293952956,0.02968339622020722,0.013234595365772275,0.007617231616211534,0.007617231616211534,0.007617231616211534,0.007617231616211534,138.63188664083364,956.0000162750969,956.0000162750969,956.0000162750969,956.0000162750969,5.975823055119575,-1.9536318986835674e-16,5.732973591774896,4.447553258305983,3.8968745754078036,1.834724360906013e-8,0.9999999999999998,1.3226415385028892e-8,9.704883835453906e-6,1.0423435302332637e-4,3.8166775955539607e-32,32.866986203988354,19.780729985468163,15.18563145645975,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999998,1.3226415449524333e-8,9.704883853547487e-6,1.0423435314168269e-4
2,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1429.0160892989095,714.5080446494547,0.06810542941093406,4.069461331025464e-18,0.03882599994540215,0.033264938741922385,0.03129126504063607,0.0115870800160083,0.0069603543630427775,0.0069603543630427775,0.0069603543630427775,0.0069603543630427775,151.04074922671427,956.0000002426049,956.0000002426049,956.0000002426049,956.0000002426049,5.877704246181264,5.846629523107305e-16,5.57816426007785,4.779201892154862,4.495642521705868,2.566530677093104e-8,0.9999999999999996,3.163927094945442e-8,2.0363858977049682e-6,7.786092539479577e-6,3.4183076780469945e-31,31.11591651240987,22.840770725976604,20.21080168296989,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999996,3.163927095152713e-8,2.0363858977792145e-6,7.786092539704925e-6
3,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1167.1715951405222,583.5857975702611,0.05794414132833441,-1.3209521412232356e-17,0.04944394156336784,0.036457803100347505,0.033079046756029115,0.013750590589733176,0.007879495036264568,0.007879495036264568,0.007879495036264568,0.007879495036264568,137.49398914404054,956.000000246702,956.000000246702,956.000000246702,956.000000246702,4.2139383723342165,-1.6764426338790604e-15,6.275013987039419,4.626921259871883,4.198117595580198,4.517229795580396e-5,0.9999999999999987,5.292257076136034e-10,4.222346286488776e-6,2.9425306013305347e-5,2.8104599046873618e-30,39.37580053754034,21.408400345054414,17.624191346320064,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999987,5.292257076687411e-10,4.222346286627301e-6,2.942530601397477e-5
4,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1920.7098565096396,960.3549282548198,0.07902750372886813,-4.920064195416161e-16,0.02911734580993603,0.024522066116332515,0.02804452180862378,0.009905703707236922,0.00542155797312662,0.00542155797312662,0.00542155797312662,0.00542155797312662,126.87910209388214,956.0000002127346,956.0000002127346,956.0000002127346,956.0000002127346,7.977979764439362,-9.075000617541591e-14,5.370660233509229,4.523066291623661,5.172779106602537,7.579876196793904e-13,0.9999999999999276,9.853316376564586e-8,6.8605246081250035e-6,2.809729645127448e-7,8.235563620838028e-27,28.843991343797406,20.458128678422227,26.757643685703748,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999276,9.853316377054709e-8,6.86052460830311e-6,2.8097296452486435e-7
5,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1217.214169680584,608.607084840292,0.0569732715375717,-3.818691821882515e-18,0.045957740861922496,0.03341605467721819,0.03304333193227648,0.013456497328826002,0.007686088621886648,0.007686088621886648,0.007686088621886648,0.007686088621886648,136.67215955189002,956.0000001606927,956.0000001606927,956.0000001606927,956.0000001606927,4.233885694424039,-4.968316148487459e-16,5.97934048419046,4.347602053671845,4.299108891118351,4.190741408220249e-5,0.9999999999999996,3.1612667480407375e-9,1.5238658287651598e-5,1.8906499091691716e-5,2.4684165351321247e-31,35.75251262587901,18.901643617091644,18.482337257692855,956.0000000000705,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999996,3.1612667482193064e-9,1.5238658287909091e-5,1.8906499091998064e-5
6,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-3254.223713676295,1627.1118568381476,0.08738213032484134,0,-0.005843419581651689,-0.007629673928022386,-0.007973250001668934,0.006264125522247673,0.0027692380063399527,0.0027692380063399527,0.0027692380063399527,0.0027692380063399527,96.9463683151177,956.0000023656463,956.0000023656463,956.0000023656463,956.0000023656463,13.949613559705165,0,-2.1101182232345645,-2.755152829245752,-2.8792216427099455,6.532202656545071e-25,1,0.03510747939800372,0.005977946759723149,0.0040754963169476344,0,4.452598916026596,7.590867112500872,8.289917267849356,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,1,0.03510747939864592,0.0059779467600002065,0.00407549631716888
7,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1424.9826806966935,712.4913403483467,0.05220771208405576,-1.6828269449969342e-17,0.03868806920945644,0.03300529532134533,0.03204617463052273,0.011747997626398082,0.006965396951311574,0.006965396951311574,0.006965396951311574,0.006965396951311574,146.9712117270276,956.0000168577282,956.0000168577282,956.0000168577282,956.0000168577282,4.443966856678925,-2.4159813959778132e-15,5.554323677442609,4.738465812078446,4.600767889400543,1.7280248441189185e-5,0.999999999999998,3.611992725537723e-8,2.4800572631259066e-6,4.775686095999927e-6,5.836966105710904e-30,30.85051151379958,22.453058252236247,21.16706517213913,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.999999999999998,3.611992741714336e-8,2.4800572692088716e-6,4.775686106478825e-6
8,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1327.8949400360023,663.9474700180011,0.06592275947332363,-6.862253138612353e-19,0.03920640051364899,0.030454412102699276,0.030615314841270443,0.012689625331122608,0.007283023072342803,0.007283023072342803,0.007283023072342803,0.007283023072342803,137.9000397996106,956.0000029713715,956.0000029713715,956.0000029713715,956.0000029713715,5.195012283904182,-9.422259232806334e-17,5.3832591389878806,4.181561942093738,4.203654792407805,7.202493292999787e-7,1,9.206574339921767e-8,3.161060210835054e-5,2.872707396159236e-5,8.877896905020418e-33,28.979478957496536,17.485460275566755,17.67071361373311,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,1,9.206574346375597e-8,3.161060211688314e-5,2.8727073969501512e-5
9,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1356.872592819956,678.436296409978,0.07491683214902913,-9.081002177205186e-17,0.04467688500881186,0.034002497792243874,0.03001219034194937,0.011948013609424334,0.0072148195900759386,0.0072148195900759386,0.0072148195900759386,0.0072148195900759386,152.7460112303902,956.000000203479,956.000000203479,956.000000203479,956.000000203479,6.270233245293289,-1.25865963297214e-14,6.1923772938502015,4.712868751287235,4.159797756167245,3.519390914273889e-9,0.99999999999999,8.787997409261998e-10,2.8049200648060166e-6,3.4719156075131684e-5,1.5842240716735622e-28,38.34553654939153,22.211131866859702,17.303917372214038,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.99999999999999,8.787997409980144e-10,2.804920064887378e-6,3.4719156075761104e-5
10,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1055.9220812878627,527.9610406439314,0.06071060895919753,3.520952748661511e-18,0.051816092804074294,0.03740313462913037,0.03392508067190648,0.014384103801758828,0.008329677630323457,0.008329677630323457,0.008329677630323457,0.008329677630323457,140.25615436077024,956.0000002462696,956.0000002462696,956.0000002462696,956.0000002462696,4.220673723987871,4.2269976161427826e-16,6.2206600427659255,4.490346000062182,4.072796352694996,4.352291843516836e-5,0.9999999999999997,7.392592257931651e-10,7.97812676475035e-6,5.0298684354697455e-5,1.7867508846876764e-31,38.69661136766458,20.163207200274442,16.58767013052567,955.9999999999363,955.9999999999363,955.9999999999363,955.9999999999363,0.9999999999999997,7.392592258675641e-10,7.978126764983747e-6,5.0298684355717154e-5
11,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1261.611982972303,630.8059914861515,0.07209760695695866,-1.5302690371769227e-17,0.045000646263360956,0.03459410741925238,0.03257086500525473,0.012394920609789008,0.0075682912683713,0.0075682912683713,0.0075682912683713,0.0075682912683713,156.519729793305,956.0000002630629,956.0000002630629,956.0000002630629,956.0000002630629,5.816705828677828,-2.0219478649983797e-15,5.9459453485126135,4.570927068283546,4.303595600419327,3.278667316034812e-8,0.9999999999999984,3.850020799161508e-9,5.4920267373432415e-6,1.8534619707546322e-5,4.088273168771505e-30,35.354266087498786,20.89337426356721,18.520935091948584,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999984,3.8500207995100805e-9,5.492026737526768e-6,1.8534619708039783e-5
12,gpt,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-1153.9825835204128,576.9912917602064,0.06147141009569111,-3.618478842146375e-18,0.04947459697723388,0.03727361559867858,0.032882347702980035,0.013447991479483567,0.007954194715841632,0.007954194715841632,0.007954194715841632,0.007954194715841632,146.25138764110193,956.000000237563,956.000000237563,956.000000237563,956.000000237563,4.57104766830591,-4.549145414984356e-16,6.219937874880019,4.686032581581663,4.133963132369806,1.0248777243862696e-5,0.9999999999999996,7.425366636488585e-10,3.1892852992946805e-6,3.8786742249254e-5,2.0694724006673187e-31,38.68762716736697,21.958901355644898,17.08965117979278,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.9999999999999996,7.425366637209051e-10,3.1892852994003876e-6,3.878674225005594e-5
